# time(s) volume
112.4542 0.2201
112.6632 0.2592
112.8722 0.2549
113.0812 0.2620
113.2902 0.2475
113.4991 0.2211
113.7081 0.2735
113.9171 0.2328
114.1261 0.2833
114.3351 0.2633
114.5440 0.2319
114.7530 0.1926
114.9620 0.2182
115.1710 0.2638
115.3800 0.2564
115.5889 0.2240
115.7979 0.2479
116.0069 0.2585
116.2159 0.2587
116.4249 0.2450
116.6338 0.1930
116.8428 0.2648
117.0518 0.2538
117.2608 0.2632
117.4698 0.2356
117.6787 0.2091
117.8877 0.1657
118.0967 0.1855
118.3057 0.2150
118.5146 0.2138
118.7236 0.2489
118.9326 0.3074
119.1416 0.2531
119.3273 0.2012
119.5363 0.2430
119.7453 0.2569
119.9543 0.2366
120.1633 0.2251
120.3722 0.2324
120.5812 0.2778
120.7902 0.2606
120.9992 0.2203
121.2082 0.2932
121.4171 0.2360
121.6261 0.1619
121.8351 0.2194
122.0441 0.2817
122.2531 0.2490
122.4620 0.2257
122.6710 0.1901
122.8800 0.1749
123.0890 0.1702
123.2980 0.2246
123.5069 0.2843
123.7159 0.2557
123.9249 0.3317
124.1339 0.3645
124.3429 0.2952
124.5518 0.2951
124.7608 0.1997
124.9698 0.3020
125.1788 0.2776
125.3878 0.2529
125.5967 0.3411
125.8057 0.2652
126.0147 0.2747
126.2237 0.2622
126.4327 0.2626
126.6416 0.2839
126.8506 0.2505
127.0596 0.3070
127.2686 0.1651
127.4776 0.2819
127.6865 0.3087
127.8955 0.2450
128.1045 0.2613
128.3135 0.2488
128.5224 0.3283
128.7314 0.2247
128.9404 0.3039
129.1494 0.3175
129.3584 0.2753
129.5673 0.2683
129.7763 0.2684
129.9853 0.2942
130.1943 0.2457
130.4033 0.2363
130.6122 0.2060
130.8212 0.2996
131.0302 0.2558
131.2392 0.2404
131.4482 0.2821
131.6571 0.2470
131.8661 0.2664
132.0751 0.2953
132.2841 0.2843
132.4931 0.2554
132.7020 0.2535
132.9110 0.2284
133.1200 0.2195
133.3290 0.2042
133.5380 0.2460
133.7469 0.2905
133.9559 0.2718
134.1649 0.2580
134.3739 0.2210
134.5829 0.2509
134.7918 0.2669
135.0008 0.2828
135.2098 0.2544
135.4188 0.2934
135.6278 0.2463
135.8367 0.2431
136.0457 0.2830
136.2547 0.2581
136.4637 0.2772
136.6727 0.3181
136.8816 0.2855
137.0906 0.2605
137.2996 0.2713
137.5086 0.2828
137.7408 0.2562
137.9498 0.3049
138.1587 0.3079
138.3677 0.3047
138.5767 0.2676
138.7857 0.2641
138.9946 0.2132
139.2036 0.1238
139.4126 0.2913
139.6216 0.2659
139.8306 0.2387
140.0395 0.2636
140.2485 0.3366
140.4575 0.3390
140.6665 0.2707
140.8755 0.2746
141.0844 0.2359
141.2934 0.2819
141.5024 0.2873
141.7114 0.2171
141.9204 0.3041
142.1293 0.2607
142.3383 0.1692
142.5473 0.1824
142.7563 0.2613
142.9653 0.2504
143.1742 0.2835
143.3832 0.3399
143.5922 0.2701
143.8012 0.2639
144.0102 0.2494
144.2191 0.2361
144.4281 0.2669
144.6371 0.2125
144.8461 0.3242
145.0551 0.1613
145.2640 0.1399
145.4730 0.1697
145.6820 0.2602
145.8910 0.2627
146.1000 0.2970
146.3089 0.3260
146.5179 0.2536
146.7269 0.2961
146.9359 0.2723
147.1449 0.2917
147.3538 0.2633
147.5628 0.2689
147.7718 0.2322
147.9808 0.2973
148.1898 0.3146
148.3987 0.2232
148.6077 0.2131
148.8167 0.1742
149.0257 0.1230
149.2346 0.0821
149.4436 0.1125
149.6526 0.1024
149.8616 0.1128
150.0706 0.1600
150.2795 0.1267
150.4885 0.1969
150.6975 0.1882
150.9065 0.1681
151.1155 0.1545
151.3244 0.1488
151.5334 0.1561
151.7424 0.1388
151.9514 0.1769
152.1604 0.1698
152.3693 0.1762
152.5783 0.1325
152.7873 0.1308
152.9963 0.1296
153.2053 0.1381
153.4142 0.2082
153.6232 0.2181
153.8322 0.2336
154.0412 0.2224
154.2502 0.1968
154.4591 0.2031
154.6681 0.1706
154.8771 0.2164
155.0861 0.2099
155.2951 0.2183
155.5040 0.1898
155.7130 0.1693
155.9220 0.1643
156.1310 0.1820
156.3400 0.2110
156.5489 0.1579
156.7579 0.1472
156.9669 0.1793
157.1759 0.2186
157.3849 0.1497
157.5938 0.1751
157.8028 0.1734
158.0118 0.1471
158.2208 0.1381
158.4298 0.1491
158.6387 0.1976
158.8477 0.1948
159.0567 0.2379
159.2657 0.2203
159.4746 0.2378
159.6836 0.2423
159.8926 0.2523
160.1016 0.2124
160.3106 0.2288
160.5195 0.2754
160.7285 0.2381
160.9375 0.2219
161.1465 0.2164
161.3555 0.2262
161.5644 0.1883
161.7734 0.1996
161.9824 0.2049
162.1914 0.2211
162.4004 0.2002
162.6093 0.2112
162.8183 0.2205
163.0273 0.2120
163.2363 0.2107
