# time(s) volume
245.7832 0.2474
246.1780 0.2318
246.5727 0.2178
246.9674 0.2560
247.3854 0.2511
247.7801 0.3311
248.1749 0.2610
248.5696 0.2778
248.9644 0.2958
249.3591 0.2775
249.7538 0.2723
250.1486 0.2791
250.5433 0.2391
250.9380 0.3129
251.3328 0.2735
251.7275 0.2130
252.1223 0.2140
252.5170 0.2418
252.9117 0.1787
253.3065 0.1402
253.7012 0.2269
254.0960 0.2992
254.4907 0.1919
254.8854 0.2142
255.2802 0.2946
255.6749 0.2622
256.0697 0.1919
256.4644 0.2030
256.8591 0.2160
257.2771 0.2524
257.6718 0.2218
258.0666 0.2603
258.4613 0.2707
258.8561 0.2655
259.2508 0.1349
259.6223 0.2081
260.0171 0.1966
260.4118 0.2984
260.8065 0.2409
261.2013 0.2620
261.6192 0.2844
262.0140 0.2814
262.4087 0.2294
262.8034 0.2605
263.2214 0.2435
263.6161 0.2688
264.0109 0.2244
264.4056 0.2321
264.8004 0.2490
265.1951 0.2654
265.5898 0.1687
265.9846 0.2289
266.3793 0.2456
266.7741 0.3005
267.1688 0.2327
267.5403 0.2229
267.9351 0.2655
268.3298 0.2570
268.7245 0.2705
269.1193 0.1939
269.5140 0.2243
269.9320 0.2629
270.3267 0.2113
270.7215 0.2491
271.1162 0.2708
271.5109 0.2456
271.9057 0.1946
272.3004 0.2000
272.6951 0.2325
273.0899 0.2926
273.4846 0.2569
273.8561 0.2702
274.2741 0.2633
274.6688 0.2969
275.0636 0.2011
275.4583 0.2342
275.8531 0.2207
276.2478 0.2821
276.6425 0.2344
277.0373 0.2391
277.4320 0.2787
277.8268 0.2423
278.2215 0.1502
278.5930 0.2595
278.9878 0.1965
279.3593 0.3017
279.7540 0.1297
280.1488 0.2067
280.5435 0.2133
280.9382 0.2732
281.3562 0.1402
281.7509 0.1938
282.1457 0.1668
282.5404 0.2639
282.9351 0.1349
283.3299 0.2200
283.7246 0.2586
284.1194 0.2826
284.5373 0.1257
284.9321 0.2127
285.3268 0.1970
285.7215 0.2810
286.1163 0.1572
286.5110 0.2369
286.9058 0.2351
287.3005 0.2912
287.7185 0.1543
288.1132 0.2046
288.5079 0.1657
288.9027 0.2970
289.2974 0.1694
289.6922 0.2312
290.0869 0.2818
290.4584 0.3000
290.8532 0.1634
291.2479 0.2801
291.6426 0.1876
292.0374 0.2759
292.4321 0.1142
292.8268 0.2041
293.2448 0.2636
293.6395 0.2719
294.0343 0.2295
294.4290 0.2056
294.8238 0.2393
295.2185 0.3169
295.6132 0.2285
296.0080 0.2513
296.4027 0.2790
296.7975 0.3000
297.1922 0.1052
297.5637 0.2103
297.9817 0.1770
298.3764 0.3083
298.7712 0.1853
299.1659 0.2453
299.5606 0.2867
299.9554 0.2998
300.3501 0.1928
300.7449 0.2427
301.1396 0.1859
301.5343 0.2674
301.9291 0.2091
302.3238 0.2300
302.7185 0.2375
303.1133 0.2745
303.5080 0.2105
303.9028 0.1696
304.2975 0.2116
304.6922 0.2942
305.0870 0.1219
305.4817 0.1822
305.8765 0.2532
306.2712 0.2906
306.6659 0.1739
307.0607 0.1958
307.4554 0.1905
307.8502 0.2956
308.2449 0.1909
308.6396 0.2228
309.0344 0.2503
309.4291 0.2802
309.8239 0.1095
310.2186 0.1956
310.6133 0.1420
311.0081 0.2863
311.4260 0.1784
311.8208 0.2482
312.2155 0.2791
312.6102 0.2745
313.0050 0.1784
313.3997 0.2202
313.7945 0.1836
314.1892 0.2840
314.5839 0.1822
314.9787 0.2297
315.3734 0.2701
315.7682 0.2786
316.1629 0.0852
316.5576 0.1915
316.9524 0.1501
317.3239 0.2497
